Abkleben für Politur/FX3_0486 | 1.4s | 25p
Politurstufe 1/FX3_0531 | 13.9s | 50p
Politurstufe 1/FX3_0532 | 26.9s | 50p
Politurstufe 1/FX3_0533 | 11.0s | 50p
Politurstufe 1/FX3_0534 | 7.7s | 50p
Politurstufe 1/FX3_0535 | 3.4s | 50p
Politurstufe 1/FX3_0536 | 4.3s | 100p
Politurstufe 1/FX3_0537 | 19.2s | 100p
Politurstufe 1/FX3_0538 | 4.8s | 100p
Politurstufe 1/FX3_0539 | 3.8s | 100p
Politurstufe 1/FX3_0540 | 1.0s | 100p
Politurstufe 1/FX3_0541 | 15.4s | 100p
Reinfahren/FX3_0442 | 19.7s | 100p
Reinfahren/FX3_0443 | 38.4s | 25p
Waschen/FX3_0374 | 20.2s | 50p
Waschen/FX3_0375 | 12.0s | 50p
Waschen/FX3_0376 | 11.5s | 50p
Waschen/FX3_0377 | 46.1s | 50p
Waschen/FX3_0378 | 8.2s | 50p
Waschen/FX3_0379 | 53.3s | 50p
Waschen/FX3_0380 | 7.2s | 50p
Waschen/FX3_0381 | 11.5s | 50p
Waschen/FX3_0382 | 9.1s | 50p
Waschen/FX3_0383 | 6.2s | 50p
Waschen/FX3_0384 | 5.8s | 50p
Waschen/FX3_0385 | 8.2s | 50p
Waschen/FX3_0386 | 4.3s | 50p
Waschen/FX3_0387 | 10.6s | 50p
Waschen/FX3_0388 | 10.6s | 50p
Waschen/FX3_0389 | 0.5s | 50p
Waschen/FX3_0390 | 22.1s | 100p
Waschen/FX3_0391 | 9.1s | 100p
Waschen/FX3_0392 | 10.1s | 100p
Waschen/FX3_0393 | 21.1s | 100p
Waschen/FX3_0394 | 14.4s | 100p
Waschen/FX3_0395 | 17.3s | 100p
Waschen/FX3_0396 | 23.5s | 100p
Waschen/FX3_0397 | 36.0s | 100p
Waschen/FX3_0398 | 2.9s | 100p
Waschen/FX3_0399 | 48.5s | 100p
Waschen/FX3_0400 | 15.4s | 100p
Waschen/FX3_0401 | 1.0s | 100p
Waschen/FX3_0402 | 13.4s | 100p
Waschen/FX3_0403 | 27.8s | 100p
Waschen/FX3_0404 | 6.7s | 100p
Waschen/FX3_0405 | 15.8s | 100p
Waschen/FX3_0406 | 6.2s | 100p
Waschen/FX3_0407 | 66.2s | 25p
Waschen/FX3_0408 | 5.3s | 25p
Waschen/FX3_0409 | 13.0s | 25p
Waschen/FX3_0410 | 28.3s | 100p
Waschen/FX3_0411 | 13.9s | 100p
Waschen/FX3_0412 | 36.0s | 100p
Waschen/FX3_0413 | 10.6s | 100p
Waschen/FX3_0414 | 6.7s | 100p
Waschen/FX3_0415 | 17.3s | 100p
Waschen/FX3_0416 | 27.8s | 100p
Waschen/FX3_0417 | 7.7s | 100p
Waschen/FX3_0418 | 21.1s | 100p
Waschen/FX3_0419 | 19.7s | 100p
Waschen/FX3_0420 | 14.4s | 100p
Waschen/FX3_0421 | 5.8s | 100p
Waschen/FX3_0422 | 14.4s | 100p
Waschen/FX3_0423 | 4.8s | 100p
Waschen/FX3_0424 | 33.1s | 100p
Waschen/FX3_0425 | 14.9s | 100p
Waschen/FX3_0426 | 13.9s | 100p
Waschen/FX3_0427 | 4.8s | 100p
Waschen/FX3_0428 | 5.3s | 100p
Waschen/FX3_0429 | 4.3s | 100p
Waschen/FX3_0430 | 10.1s | 100p
Waschen/a7MK4_20260730_0011 | 41.3s | 25p
Waschen/a7MK4_20260730_0012 | 6.7s | 25p
Waschen/a7MK4_20260730_0013 | 13.9s | 25p
Waschen/a7MK4_20260730_0014 | 4.8s | 25p
Waschen/a7MK4_20260730_0015 | 1.9s | 25p
Waschen/a7MK4_20260730_0016 | 8.2s | 25p
Waschen/a7MK4_20260730_0017 | 8.2s | 25p
Waschen/a7MK4_20260730_0018 | 3.4s | 25p
Waschen/a7MK4_20260730_0019 | 1.9s | 25p
Waschen/a7MK4_20260730_0020 | 10.1s | 25p
Waschen/a7MK4_20260730_0021 | 2.4s | 25p
Waschen/a7MK4_20260730_0022 | 27.4s | 25p
Waschen/a7MK4_20260730_0023 | 11.5s | 25p
Waschen/a7MK4_20260730_0024 | 41.3s | 25p
Waschen/a7MK4_20260730_0025 | 6.7s | 25p
Waschen/a7MK4_20260730_0026 | 5.8s | 25p
Waschen/a7MK4_20260730_0027 | 1.4s | 25p
Waschen/a7MK4_20260730_0028 | 2.9s | 25p
Waschen/a7MK4_20260730_0029 | 20.2s | 25p
Waschen/a7MK4_20260730_0030 | 4.8s | 25p
Waschen/a7MK4_20260730_0031 | 10.6s | 25p
Waschen/a7MK4_20260730_0032 | 92.6s | 50p
Waschen/a7MK4_20260730_0033 | 5.8s | 50p
Waschen/a7MK4_20260730_0034 | 24.5s | 50p
Waschen/a7MK4_20260730_0035 | 7.7s | 50p
Waschen/a7MK4_20260730_0036 | 49.4s | 50p
Waschen/a7MK4_20260730_0037 | 13.4s | 50p
Zustand Innenraum Nachher/FX3_0492 | 8.6s | 100p
Zustand Innenraum Nachher/FX3_0493 | 4.3s | 100p
Zustand Innenraum Nachher/FX3_0494 | 13.0s | 100p
Zustand Innenraum Nachher/FX3_0495 | 3.4s | 100p
Zustand Innenraum Nachher/FX3_0496 | 6.7s | 100p
Zustand Innenraum Nachher/FX3_0497 | 16.3s | 100p
Zustand Innenraum Nachher/FX3_0498 | 4.3s | 100p
